CONTEXT,HYPOTHESIS,LABEL,CONTEXT_FROM,HYPOTHESIS_FROM,SUBSET
a group of people enjoying a thrill ride at an amusement park .,A person overcomes the thrill .,3,SNLI-train,AGCI-WK,AGCI
A group of fishermen holding a net looking at a small batch of caught fish .,The batch is a large indefinite quantity .,3,SNLI-train,AGCI-WK,AGCI
A man wearing a shirt and tie is holding a bottle of alcohol .,People wear the tie .,3,SNLI-train,AGCI-WK,AGCI
A little girl with a black bandanna on her hair is posing for a picture while she searches for a four leaf clover,The clover dies .,3,SNLI-train,AGCI-WK,AGCI
A cat looking after the rabbits in a cage .,The rabbits are a leporid .,5,SNLI-train,AGCI-WK,AGCI
"People buy fruits from a stand carrying melons , apples , and other fruits .",A person chooses the melons .,5,SNLI-train,AGCI-WK,AGCI
Sheila 's snooty neighbor invited her over for tea,The tea is a meal .,3,ROCStories,AGCI-WK,AGCI
An orchestra practicing their composition .,The composition lists an event .,1,SNLI-train,AGCI-WK,AGCI
A man in pink is chewing a toothpick on the subway .,The toothpick grows .,1,SNLI-train,AGCI-WK,AGCI
"A person wearing a straw hat , standing outside working a steel apparatus with a pile of coconuts on the ground .",The apparatus storm into a home .,1,SNLI-test,AGCI-WK,AGCI
An old ban with a black hat and tie walks down a city street .,The ban is a decree .,1,SNLI-dev,AGCI-WK,AGCI
A man in a blue button-down shirt and holding a knife grins at a woman while standing in front of a white and black cake while another man in a black shirt stands behind him .,The cake is a block .,2,SNLI-train,AGCI-WK,AGCI
A sidewalk sideshow performs for a little boy .,The sideshow is sold .,2,SNLI-train,AGCI-WK,AGCI
"These people , dressed in colorful clothing and some carrying baskets , are walking up the dry stream bed on their pilgrimage back home from the market .",An incident leads to the pilgrimage .,3,SNLI-train,AGCI-WK,AGCI
A group of people all dressed up marching along the road playing instruments and holding flags and other props .,A person changes the props .,2,SNLI-train,AGCI-WK,AGCI
A monster truck making a jump in a crowded arena .,The jump is an increase .,5,SNLI-train,AGCI-WK,AGCI
Tin wrote a great poem in English class,The poem is written .,5,ROCStories,AGCI-WK,AGCI
The little girl in a white dress is standing in front of the large park fountain .,The fountain is a structure .,5,SNLI-train,AGCI-WK,AGCI
"Two people , wearing jackets , are watching a man set up a window display in a store .",The display is a representation .,4,SNLI-train,AGCI-WK,AGCI
A lady by the water is grasping a black pot .,The pot is purchased through an intermediary .,3,SNLI-train,AGCI-WK,AGCI
a boy enjoys a rain shower .,A person goes to have the shower .,2,SNLI-train,AGCI-WK,AGCI
Two children climb on chains strung between two wooden poles .,The chains are basic .,3,SNLI-train,AGCI-WK,AGCI
a horse driven carriage running through a rainstorm .,The rainstorm is a rain .,5,SNLI-train,AGCI-WK,AGCI
A blonde lady with a rat tail had a son,The lady is a woman .,5,ROCStories,AGCI-WK,AGCI
"Outdoors in front of a crowd , a man plays an instrument by blowing into pipes he holds up to his face .",The outdoors are great .,4,SNLI-dev,AGCI-WK,AGCI
A man sitting next to tires in a showroom containing race cars lined up with hoods opened .,The showroom is a panopticon .,2,SNLI-train,AGCI-WK,AGCI
"Two men are standing in a freshly razed field at the boundary of a forest , while a bulldozer sits idling nearby .",The bulldozer excavates a grave .,2,SNLI-test,AGCI-WK,AGCI
A snowboarder in orange is leaping over a snow heap .,A person sits in the heap .,3,SNLI-train,AGCI-WK,AGCI
A boy wearing a black shirt is playing a game at the arcade .,A game has the arcade .,1,SNLI-dev,AGCI-WK,AGCI
A man crashing into the water whilst waterskiing or hang diving .,A person loves the diving .,3,SNLI-train,AGCI-WK,AGCI
A grandfather playing with his family on a playground .,The grandfather is a grandparent .,5,SNLI-train,AGCI-WK,AGCI
A woman wearing black is balancing a fishbowl on her head .,A daughter reaches into the fishbowl .,2,SNLI-train,AGCI-WK,AGCI
Two guys from opposing soccer teams after a penalty kick .,The penalty is justified .,3,SNLI-train,AGCI-WK,AGCI
Celebrating St. Patrick's Day at 2:10 pm& an police officer is going inside a room.,people are on a building .,2,SNLI-train,AGCI-NN,AGCI
A black woman in winter clothes standing in a building entry .,An airport sees the entry .,1,SNLI-train,AGCI-WK,AGCI
"A person with gray hair, dressed entirely in gray, lies on the wooden slats of a park bench.",someone is something .,3,SNLI-train,AGCI-NN,AGCI
A boy with a concerned look it holding up two newspapers featuring a headline about murder .,The headline refers to a child .,2,SNLI-dev,AGCI-WK,AGCI
A waitress is serving customers at a restaurant .,The waitress are a waiter .,3,SNLI-dev,AGCI-WK,AGCI
Woman stupidly spills coffee while her jerk of a friend watches .,The jerk is safe .,3,SNLI-train,AGCI-WK,AGCI
The company wanted to gauge customer satisfaction.,They distributed a survey to customers.,4,COPA-premise,COPA-effect,COPA
A show horse being ridden by a woman in jockey clothes is about to jump over a white steeple on a green field in front of a parking lot with camper vans in it .,The steeple is intact .,4,SNLI-train,AGCI-WK,AGCI
A man wearing only underwear and tennis shoes walking down the street .,A man is stripped to the underwear .,4,SNLI-train,AGCI-WK,AGCI
Young athlete in blue shows star potential during a close game .,The potential is an electrical phenomenon .,3,SNLI-train,AGCI-WK,AGCI
A bull fighter is waving his red cape at the charging bull .,The cape faces charges .,1,SNLI-train,AGCI-WK,AGCI
This is a woman sitting on some steps resting her eyes and daydreaming .,The daydreaming is a dream .,3,SNLI-train,AGCI-WK,AGCI
Raven was performing songs on youtube,The songs are inescapable .,2,ROCStories,AGCI-WK,AGCI
Lucy was known for her luck,A person pays the luck .,1,ROCStories,AGCI-WK,AGCI
The little girl in her bathing suit stands near the sprinkers and squeals .,A voice takes on the squeals .,1,SNLI-train,AGCI-WK,AGCI
A child with brown hair sorts through colorful fabric letters spread out on the floor .,The letters are dated .,3,SNLI-train,AGCI-WK,AGCI
Mom and dad were about to get off work and thinking about what to eat,A person wakes up the thinking .,1,ROCStories,AGCI-WK,AGCI
a woman wearing a pink tank top holding a mug of liquid,The mug is surprising .,2,SNLI-test,AGCI-WK,AGCI
A black man is playing a guitar while a woman in a dark green coat nearby is looking away .,The coat is a covering .,5,SNLI-train,AGCI-WK,AGCI
I went to the hospital to run a few blood tests,The worker at the front desk called me into the office.,3,ROCStories-1st,ROCStories-2nd,ROC
There 's a red bus making a left turn into a traffic circle that has a sprinkler system .,The system is absurd .,3,SNLI-test,AGCI-WK,AGCI
Two woman hiking stop to admire the view .,The hiking is unlikely .,1,SNLI-train,AGCI-WK,AGCI
A woman with a wide grin is pulling back the gills on a large silver fish that is hanging from a hook .,The gills are a plant organ .,2,SNLI-train,AGCI-WK,AGCI
children are playing with a mortar and pistil,A person is placed on the pistil .,1,SNLI-dev,AGCI-WK,AGCI
A man in a black coat eats a doughnut while other men look out of frame .,The doughnut is grown .,1,SNLI-dev,AGCI-WK,AGCI
"A large , black dog is practicing attacking a culprit on a uniformed man .",The culprit is a wrongdoer .,4,SNLI-train,AGCI-WK,AGCI
A woman wearing a babushka is sitting and sleeping inside a flower shop.,a woman is sitting .,5,SNLI-train,AGCI-NN,AGCI
"A smiling woman with dark hair , dressed in a white shirt with a decorated dark jacket , is playing a violin and performing in front of a large Smithsonian sign .",The front is a position .,4,SNLI-train,AGCI-WK,AGCI
People dressed in camo are bent down getting ready to fire their guns .,A person matches the camo .,2,SNLI-train,AGCI-WK,AGCI
A scruffy golden dog meeting a black Doberman in the snow .,The Doberman is a pinscher .,5,SNLI-train,AGCI-WK,AGCI
Three little girls look on as a boy plays the harmonica with an adult guiutarist sitting beside him .,The harmonica is a free-reed instrument .,5,SNLI-train,AGCI-WK,AGCI
A man high on a tightrope walks and balances .,The tightrope is a rope .,5,SNLI-dev,AGCI-WK,AGCI
Children in an African schoolhouse .,An incident destroys the schoolhouse .,3,SNLI-train,AGCI-WK,AGCI
A man with a large mustache watches the barber conduct his work through the mirror that faces him .,The conduct is an activity .,4,SNLI-test,AGCI-WK,AGCI
amputee standing from wheelchair throwing a ball in a seniors center .,The amputee plans to specialize in pediatrics .,3,SNLI-train,AGCI-WK,AGCI
A man is getting his book signed by the author .,A person travels as the author .,2,SNLI-train,AGCI-WK,AGCI
Popular Liz was sure she 'd make a great class president,She made posters and campaigned for the position.,3,ROCStories-1st,ROCStories-2nd,ROC
A person walks down the street wearing a white shroud .,The shroud is soaked with a blood .,2,SNLI-train,AGCI-WK,AGCI
Two girls are playing tug-of-war and losing as the girl in front is drug into a muddy puddle of water .,Police are the latest object of the tug-of-war .,1,SNLI-dev,AGCI-WK,AGCI
A street performer hula-hoops while singing in attempt to earn money from passer-bys .,The passer-bys is a pedestrian .,5,SNLI-train,AGCI-WK,AGCI
A man wearing a brightly green camouflage patterned denim jacket and boots walks by a building labeled Lottery Ticket Centre .,A person wants to wear the camouflage .,5,SNLI-test,AGCI-WK,AGCI
A man in an orthodox Christian church is praying by a sepulcher .,A tiger climbs out of the sepulcher .,1,SNLI-train,AGCI-WK,AGCI
Ellen has a garden in her backyard,Ellen is very proud of her garden.,4,ROCStories-1st,ROCStories-2nd,ROC
Tin wrote a great poem in English class,The poem has to be reconstructed .,3,ROCStories,AGCI-WK,AGCI
a man in protective gear sitting on a bike is getting ready to joust .,A government requests the joust .,1,SNLI-train,AGCI-WK,AGCI
A fire hydrant with a face painted on it .,The hydrant is a discharge pipe .,5,SNLI-dev,AGCI-WK,AGCI
A woman wearing a blue dress is holding a microphone and smiling while her friend looks on .,The microphone fails to detonate .,2,SNLI-train,AGCI-WK,AGCI
a lone surfboarder on a white surfboard flying through the air over a wave,The surfboarder grabs a computer .,1,SNLI-dev,AGCI-WK,AGCI
"A young woman and her friend waiting for the court hearing in the city of Portland , Oregon .",The hearing is a proceeding .,5,SNLI-train,AGCI-WK,AGCI
A muscular man arches backwards while supported by a black chord which wraps around his body .,A person looks for the chord .,3,SNLI-train,AGCI-WK,AGCI
A young boy in a blue fleece walk on a path toward a bridge.,a man is raking,2,SNLI-train,AGCI-NN,AGCI
Gina awoke in a good mood,The mood is calmed .,3,ROCStories,AGCI-WK,AGCI
a road paver smoothing out asphalt,A person buys the asphalt .,2,SNLI-train,AGCI-WK,AGCI
Police on motorcycles are escorting a motorcade .,The motorcade accompanies an ambulance .,2,SNLI-train,AGCI-WK,AGCI
Children playing outside of bungalow 's in Mexico .,An ambulance heads towards the bungalow .,3,SNLI-train,AGCI-WK,AGCI
Three children running down a grassy hillside .,A dam is constructed on the hillside .,2,SNLI-train,AGCI-WK,AGCI
"Four cheerleaders in white , gray , and orange uniforms tossing a fifth into the air .",A person singles in the fifth .,1,SNLI-train,AGCI-WK,AGCI
"A rodeo cowboy , wearing a cowboy hat , is being thrown off of a wild white horse .",The cowboy is a star .,3,SNLI-train,AGCI-WK,AGCI
A middle-aged man presents a spreadsheet on powerpoint .,A player accesses the spreadsheet .,4,SNLI-train,AGCI-WK,AGCI
Two women are playing beach volleyball .,A remainder includes the volleyball .,1,SNLI-train,AGCI-WK,AGCI
A family and friends sit to eat at a table filled with many bowls of great food .,A person works behind the table .,4,SNLI-train,AGCI-WK,AGCI
I was playing basketball,I started wheezing extremely bad.,3,ROCStories-1st,ROCStories-2nd,ROC
Two guys stop to take a picture while holding a flag .,The guys are read .,1,SNLI-train,AGCI-WK,AGCI
Jamie got her dad 's gun from the top drawer in his room,The drawer is a container .,5,ROCStories,AGCI-WK,AGCI
Foreigners appear to be haggling over a basket at an outdoor market .,The foreigners are a stranger .,4,SNLI-train,AGCI-WK,AGCI
A woman is admiring and blowing dandelions on a beautiful spring day .,A person can throw in the dandelions .,1,SNLI-train,AGCI-WK,AGCI
"Man wearing a black fedora hat , blue shirt , strumming an electric guitar with rhythm slider on his left pinkie finger .",The slider is a person .,1,SNLI-train,AGCI-WK,AGCI
Cam wanted to see a movie,"Sighing, Cam decided to go alone.",3,ROCStories-1st,ROCStories-3rd,ROC
Red spray is being ejected by an orange and white plane flying over the hilltops .,A person changes the hilltops .,1,SNLI-train,AGCI-WK,AGCI
A bunch of kids in a classroom not doing any work .,The work is blocked .,1,SNLI-train,AGCI-WK,AGCI
A man in a big hat is standing on a sidewalk .,A person gets to take the hat .,3,SNLI-train,AGCI-WK,AGCI
two girls cleaning and one girl acting a fool .,The fool sets out to save a kingdom .,1,SNLI-train,AGCI-WK,AGCI
"A woman wearing a brown scarf and sunglasses, walks through a shopping outlet.",there is a man on a motorbike .,3,SNLI-train,AGCI-NN,AGCI
I had a stroke in 2011,It was hard to wear a wristwatch.,2,ROCStories-1st,ROCStories-2nd,ROC
A woman wearing a gas mask is sitting behind a sewing machine sewing .,The sewing continues to strengthen .,2,SNLI-train,AGCI-WK,AGCI
A woman in a gray outfit walks along a brick promenade .,The promenade is a walk .,4,SNLI-train,AGCI-WK,AGCI
A man is holding a utensil and is getting ready to dig into a plate filled with food .,The utensil is an implement .,5,SNLI-train,AGCI-WK,AGCI
People walk amongst a traffic jam in a crowded city .,Others prefer the jam .,2,SNLI-dev,AGCI-WK,AGCI
Asians eating in a restaurant with an orange motif.,the people are eating food .,5,SNLI-train,AGCI-NN,AGCI
The woman's political views changed.,She switched her party affiliation.,4,COPA-premise,COPA-effect,COPA
A soccer player is chasing a ball off towards a sideline on the field .,The sideline is basketball .,1,SNLI-train,AGCI-WK,AGCI
"Pedestrians cross a street walking an avenue past a restaurants , one pulling a wheeled basket and several others wearing purses .",A speculation focuses on the purses .,1,SNLI-train,AGCI-WK,AGCI
A man and a woman hug on a grassy hillside overlooking the countryside in the distance .,Million lives in the countryside .,1,SNLI-dev,AGCI-WK,AGCI
A young couple conversing inside a hip dance club .,The club is an association .,3,SNLI-train,AGCI-WK,AGCI
"An archer using the japanese style teachings aiming at his target , while wearing traditional japanese garb",A practice is incompatible with the teachings .,1,SNLI-train,AGCI-WK,AGCI
"People are walking in front of a tourist information building displaying the following on its facade : pain is temporary , quitting lasts forever .",A person plays on the facade .,1,SNLI-train,AGCI-WK,AGCI
A boy playing Pokemon while dressed in red pajamas decorated with penguins and snowflakes .,The snowflakes receive a medal .,1,SNLI-train,AGCI-WK,AGCI
A young child making faces at the camera.,a kid using a camera .,5,SNLI-train,AGCI-NN,AGCI
The man in black has a condom on his head .,A person puts on the condom .,2,SNLI-dev,AGCI-WK,AGCI
A man does acrobatics outside of a middle eastern style building .,The acrobatics are a flight .,1,SNLI-train,AGCI-WK,AGCI
"A woman is riding a horse , and a baby bull is running around in a frenzy .",The frenzy is a mania .,4,SNLI-train,AGCI-WK,AGCI
Two people are fighting in full protective gear and helmets .,The gear is equipment .,5,SNLI-train,AGCI-WK,AGCI
Children playing outside of bungalow 's in Mexico .,A person picks the bungalow .,3,SNLI-train,AGCI-WK,AGCI
A baby and a toddler both rest in a twin stroller .,The stroller is a wheeled vehicle .,5,SNLI-train,AGCI-WK,AGCI
Casually dressed male panelist makes comments at a Tech Policy Summit .,The panelist is a critic .,3,SNLI-train,AGCI-WK,AGCI
A man with tattoos wearing blue shorts stands next to a shop vac in a cart .,A person walks with the vac .,3,SNLI-train,AGCI-WK,AGCI
Halley knew that her parents had a big surprise in store for her,"On her birthday, her parents handed her a photo album as her gift.",3,ROCStories-1st,ROCStories-3rd,ROC
Alysha forgot to take her lunch to school,The lunch is a meal .,5,ROCStories,AGCI-WK,AGCI
John sat in the audience of the awards show,Fear gripped John as the announcer finished the list.,3,ROCStories-1st,ROCStories-3rd,ROC
A man is skating with his t-shirt tucked in his back pant which says '' Just Love me '' .,The pant is an inhalation .,1,SNLI-train,AGCI-WK,AGCI
The student knew the answer to the question.,He raised his hand.,4,COPA-premise,COPA-effect,COPA
Tom was an aspiring journalist,The journalist declines to comment .,3,ROCStories,AGCI-WK,AGCI
Many people sit outside in chairs and wander in the courtyard in front of a small white building labeled ' Znocob ' .,The courtyard is an area .,5,SNLI-train,AGCI-WK,AGCI
Woman and child enjoy the view from te lakeside .,A person will be erected along the lakeside .,1,SNLI-train,AGCI-WK,AGCI
"While drinking a coupe of Red Stripe beers , a man with a gray t-shirt speaks to another man wearing a blue button up shirt .",The coupe is a car .,4,SNLI-dev,AGCI-WK,AGCI
Looks as if the man in a blue shirt with white strips on the arms is pressure washing the kitchen deep fryer .,The fryer is a chicken .,1,SNLI-train,AGCI-WK,AGCI
A door burst open in a crowded room,A man stood there looking panicked.,3,ROCStories-1st,ROCStories-2nd,ROC
"Two men sitting in a living room , one wearing cultural clothing and another in a white shirt and shorts , contemplating on their bike and moped .",A victim rides the moped .,2,SNLI-test,AGCI-WK,AGCI
He is loving the quietness of his music .,An avoidance is as soothing as the quietness .,2,SNLI-train,AGCI-WK,AGCI
Number 8 goes down on one knee as they battle over the hockey puck .,The puck is a fairy .,1,SNLI-train,AGCI-WK,AGCI
Joseph has been growing a beard for about a year,A person combs the beard .,4,ROCStories,AGCI-WK,AGCI
"Interior of the restaurant chain : Planet Hollywood , various movie memorabilia decorate the space .",A person collects the memorabilia .,3,SNLI-dev,AGCI-WK,AGCI
Two young women sit on a step studying together .,The step makes an entrance .,1,SNLI-train,AGCI-WK,AGCI
A group of people looks out over a railing that is set on a glass wall making their legs visible to the picture taker .,The taker demands a job .,3,SNLI-train,AGCI-WK,AGCI
This boy is in deep concentration playing a game of ping-pong .,The concentration is expected .,3,SNLI-dev,AGCI-WK,AGCI
A young boy is holding a tennis racket .,A person goes to make the racket .,1,SNLI-train,AGCI-WK,AGCI
Eleven children sit next to each other on a stoop in front of a blue grating while holding objects in front of their eyes .,The grating is the surface opening of a passage .,3,SNLI-train,AGCI-WK,AGCI
There was a lot of traffic on the highway.,I took a detour.,4,COPA-premise,COPA-effect,COPA
A church had a pipe organ that no one had played in years,They managed to fire up the airbox for him.,2,ROCStories-1st,ROCStories-3rd,ROC
My Aunt bought a special shower head that filters water,"I would never tell my Aunt, but I think she chooses the funny colors.",3,ROCStories-1st,ROCStories-3rd,ROC
Fred 's car had problems steering for a long time,The car is a wheeled vehicle .,5,ROCStories,AGCI-WK,AGCI
A man is watching a restaurant worker prepare raviolis in a metal dish .,The raviolis are delicious on a visit .,5,SNLI-train,AGCI-WK,AGCI
A glass filled with water is being filled with fish eggs .,The eggs grow .,1,SNLI-train,AGCI-WK,AGCI
A small child wearing a red jacket and blue pants is hanging onto the white cross bar of a blue metal swing set which is in the corner of the yard near the little white bench and the stacked firewood.,the kid is playing outside .,5,SNLI-train,AGCI-NN,AGCI
Ted bought a metal detector,The detector is missed .,2,ROCStories,AGCI-WK,AGCI
The girl applied the scissors to the paper.,The paper sliced apart.,5,COPA-premise,COPA-effect,COPA
"A adult female with dark hair and sunglasses holding something , she has a scrolling tattoo on her arm .",The tattoo splashes across a torso .,1,SNLI-train,AGCI-WK,AGCI
Man wearing blue bowing on floor in front of another man in blue bowing on floor with two other men wearing blue kneeling on same floor also .,The bowing is a gesture .,3,SNLI-test,AGCI-WK,AGCI
A boy wearing a hat and sitting on a wall looks over at a group of people standing by the riverside .,A woman dances on the riverside .,3,SNLI-train,AGCI-WK,AGCI
"A all girls team huddles for a pep talk , they wear matching blue and white jerseys , black shorts , and white and black leg guards .",The huddles are a conference .,5,SNLI-train,AGCI-WK,AGCI
The boy painted a picture for his mother.,His mother sold the picture to a gallery.,3,COPA-premise,COPA-effect,COPA
A blond-haired boy wearing a black polo playing a guitar and singing into a microphone with a band .,The polo is suspended for minutes .,1,SNLI-train,AGCI-WK,AGCI
Girl graduating from college with flower necklace on .,A person is placed in the college .,2,SNLI-train,AGCI-WK,AGCI
A person wearing a hooded jacket and blue jeans stands facing a shop with the sign '' Feelings '' on it .,The Feelings are an intuition .,2,SNLI-train,AGCI-WK,AGCI
A boy playing soccer goes for a header as his opponents look on from the bench .,The header is a line .,2,SNLI-train,AGCI-WK,AGCI
"There is a herd of antelope running , with a few jumping over a fence , in a field .",A person stumbles across the antelope .,3,SNLI-train,AGCI-WK,AGCI
Sandy and Bob set out to break a world record,They needed photographic evidence of the record being broken.,4,ROCStories-1st,ROCStories-3rd,ROC
A young boy releases two doves into the air inside his bedroom .,The doves are a poultry .,5,SNLI-train,AGCI-WK,AGCI
"An outdoor setting shows people in various period costumes , including cowboys , a nun , a robed figure , and American Revolution minutemen .",The minutemen are injured .,2,SNLI-train,AGCI-WK,AGCI
A man using a radial saw .,The radial is a pneumatic tire .,1,SNLI-train,AGCI-WK,AGCI
A woman plays the harpsichord while a man plays the recorder.,the woman is playing music,5,SNLI-train,AGCI-NN,AGCI
A man with his finger in his mouth is standing outside of an RV .,The RV is parked at an office .,3,SNLI-test,AGCI-WK,AGCI
A bride in a light pink dress poses for a picture with male relatives and is being photographed by a man in a cream shirt with white pants .,The relatives decline to give a name .,2,SNLI-train,AGCI-WK,AGCI
Two women are bathing at a spa.,people use a plastic .,1,SNLI-train,AGCI-NN,AGCI
Sandy and Bob set out to break a world record,A report is seen the record .,3,ROCStories,AGCI-WK,AGCI
Lynn had gotten bad grades at school,The grades are lowered .,4,ROCStories,AGCI-WK,AGCI
Suzy stashed her savings in a piggy bank with a slot on top,A nature is one of the savings .,1,ROCStories,AGCI-WK,AGCI
The man hurt his back.,He went to see a psychiatrist.,2,COPA-premise,COPA-effect,COPA
A child uses a hand to erase part of an advertisement from a chalkboard .,A pharmacist misreads the hand .,1,SNLI-train,AGCI-WK,AGCI
A young woman seated in a freshly mown hayfield is blowing seeds from a bunch of dandelions .,A lemonade stands in the hayfield .,1,SNLI-train,AGCI-WK,AGCI
"A woman is riding a horse , and a baby bull is running around in a frenzy .",A government files the frenzy .,1,SNLI-train,AGCI-WK,AGCI
A father -LRB- or child molester -RRB- swims with a small child in a pool .,The molester is admitted .,2,SNLI-train,AGCI-WK,AGCI
A man dressed in a red shirt and black tie stands up at a wedding reception to make a speech .,The reception is a party .,5,SNLI-test,AGCI-WK,AGCI
A crowd gathers along the handrail of a boardwalk to watch young men leap into the air on the beach sand .,A person has to make the leap .,3,SNLI-dev,AGCI-WK,AGCI
A man and a woman use syringes to soak up broth for cooking .,The broth is added .,3,SNLI-train,AGCI-WK,AGCI
a man in a gray shirt and a hat holding a jackhammer,A someone comes along with the jackhammer .,3,SNLI-train,AGCI-WK,AGCI
A person wearing a navy jacket and black hat jumping over a small partition on a horse .,The partition is improved .,1,SNLI-train,AGCI-WK,AGCI
"Men playing basketball , the guy with the ball is attempting a layup .",The layup fails .,3,SNLI-test,AGCI-WK,AGCI
This is underwater training in a pool .,A person undergoes the training .,4,SNLI-train,AGCI-WK,AGCI
A man with a red Spain shirt and a woman with purple streaks in her hair .,A defeat ends the streaks .,1,SNLI-train,AGCI-WK,AGCI
Homosexuals dancing in showers .,The homosexuals die .,2,SNLI-train,AGCI-WK,AGCI
A woman is being controlled like a marionette by a guy standing on stilts .,The marionette holds an interest .,1,SNLI-train,AGCI-WK,AGCI
My daughter had As in high school,The daughter is married to a son .,3,ROCStories,AGCI-WK,AGCI
A man in a red pullover is creating a work of art on a cement block in the city square while onlookers gleefully watch .,The pullover is a sweater .,5,SNLI-train,AGCI-WK,AGCI
A young man with a jacket over his head contemplating his strategy before his event begins .,The strategy fails .,3,SNLI-train,AGCI-WK,AGCI
A man attempts to skateboard over a chasm .,Stocks fall at the chasm .,1,SNLI-train,AGCI-WK,AGCI
A woman in a white and floral dress carries plants .,The plants are an organism .,5,SNLI-train,AGCI-WK,AGCI
The journey is temporarily delayed by mechanical malfunctions .,The malfunctions are to blame .,4,SNLI-train,AGCI-WK,AGCI
A woman with her arms in the air smiles with a screen behind her .,The arms are found in a car .,1,SNLI-train,AGCI-WK,AGCI
Someone in cold weather clothing is leaning against a snowbank .,A jetliner slams into the snowbank .,2,SNLI-train,AGCI-WK,AGCI
Three young men and 1 young lady are protesting about the exploitation of young workers .,The exploitation is a mistreatment .,5,SNLI-train,AGCI-WK,AGCI
"A woman , in a green shirt , preparing to run on a treadmill .",The treadmill is an exercise device .,5,SNLI-dev,AGCI-WK,AGCI
Jess dialed jack 's phone number again and listened to the voicemail,The jack is found on a person .,1,ROCStories,AGCI-WK,AGCI
Two teens trying to win a prize at a carnival .,A person is awarded the prize .,4,SNLI-test,AGCI-WK,AGCI
Flaming series the - band is - making a music video,A person directs the series .,4,ROCStories,AGCI-WK,AGCI
A race car on a track has flames shooting from the rear .,The rear is a body part .,1,SNLI-train,AGCI-WK,AGCI
"A race car speeds down the raceway at the blink of an eye , driving so fast that the camera was only able to capture the car in focus .",The raceway is a canal .,2,SNLI-train,AGCI-WK,AGCI
"3 women are sitting on a park bench , one , an older woman , is digging out something frozen out of her cup , the middle one is biting her nails , and the third one is scratching off a lottery ticket .",The ticket is a label .,3,SNLI-train,AGCI-WK,AGCI
A man dressed in black and holding a package in his hands is walking on a sidewalk near a police sign asking for witnesses to a road dealth to step forward .,The witnesses are arrested .,2,SNLI-test,AGCI-WK,AGCI
A notice was put up in the town square,Authorities issue the notice .,5,ROCStories,AGCI-WK,AGCI
A ceremony with one man speaking and another man adjusting the robes on other person whose faces is partially covered being held in a mosque with many observers .,The mosque is set .,3,SNLI-dev,AGCI-WK,AGCI
The girl in the white strip is falling down as the girl in the blue strip challenges for the soccer ball .,A moderator does the challenges .,1,SNLI-train,AGCI-WK,AGCI
"In a park , a boy is bent to read the tree description , and a girl is standing nearby waiting for him .",An industry comes up with the description .,2,SNLI-train,AGCI-WK,AGCI
A woman and a young girl sharing smiles at a table with a glass of water on it .,The sharing is sorted out .,2,SNLI-train,AGCI-WK,AGCI
Man in tank top and woman in bikini top dance together outside by torchlight in front of a background of onlookers .,The torchlight is a light .,5,SNLI-train,AGCI-WK,AGCI
A group of people looking at menus in a white restaurant .,The menus take a person .,1,SNLI-dev,AGCI-WK,AGCI
A woman came out of the cafe with a box,She screamed at me because she thought I was a chauvinist.,3,ROCStories-1st,ROCStories-3rd,ROC
Ample dark-skinned man looks back at camera from behind buffet .,A person chooses the buffet .,3,SNLI-dev,AGCI-WK,AGCI
Marsha cares for her aging father who has dementia,A team is reminiscent of the father .,1,ROCStories,AGCI-WK,AGCI
This farmer cuts into his harvested fruit with a machete to sell in the market .,The machete adds to an attraction .,2,SNLI-train,AGCI-WK,AGCI
A man in a red shirt is learning how to climb a cliff .,A person begins the climb .,4,SNLI-test,AGCI-WK,AGCI
A transvestite standing on a city street in a polka-dot getup and fishnets .,The getup is accessorize with a crown .,2,SNLI-train,AGCI-WK,AGCI
A plumber was fixing pipes in an old and historical house,The plumber is a craftsman .,4,ROCStories,AGCI-WK,AGCI
A skateboarder rides down a city street .,The skateboarder is a skater .,5,SNLI-train,AGCI-WK,AGCI
"The small girl is sitting in a harness , strapped to a tether , while others watch .",The harness are a stable gear .,5,SNLI-dev,AGCI-WK,AGCI
People are shopping at the swap meet .,A colony is hypersensitive to the swap .,2,SNLI-train,AGCI-WK,AGCI
An old woman carries a load on her back and walks past a boy and elderly man on the steps,The load is a concern .,1,SNLI-train,AGCI-WK,AGCI
Miranda and her boyfriend were seeing a movie,The boyfriend is charged .,2,ROCStories,AGCI-WK,AGCI
There is a such thing as a lucky star,The star is an expert .,2,ROCStories,AGCI-WK,AGCI
A crowd of men dressed as Japanese samurai are striking various poses .,The samurai is a warrior .,5,SNLI-train,AGCI-WK,AGCI
A young oriential girl is standing above the crowd playing with a pinwheel,The pinwheel spins a round .,5,SNLI-train,AGCI-WK,AGCI
Ballplayers in blue and white uniforms are on the field playing baseball .,The ballplayers seek an asylum .,2,SNLI-train,AGCI-WK,AGCI
"Two people , using ropes and clamps are climbing the sheer side of a mountain .",The clamps are basic .,3,SNLI-train,AGCI-WK,AGCI
A brown-skinned man is engraving what appears to be Arabic syllables into a large stone slab using a chisel .,The engraving is a print .,5,SNLI-train,AGCI-WK,AGCI
Tommy wanted a goat,The goat is a bovid .,5,ROCStories,AGCI-WK,AGCI
Sandy arrived to work to meet a bouquet of red roses on her desk,A person designs the desk .,2,ROCStories,AGCI-WK,AGCI
A group of people began to protest the local library,The group admits an involvement .,3,ROCStories,AGCI-WK,AGCI
